"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Araújo P.H.M.; Maia A.S.; Cordeiro A.M.T.M.; Gondim A.D.; Santos N.A.","Araújo, Pedro H. M. (57211204059); Maia, Ary S. (36961374900); Cordeiro, Angela M. T. M. (54408226900); Gondim, Amanda D. (6507576352); Santos, Nataly A. (16040194800)","57211204059; 36961374900; 54408226900; 6507576352; 16040194800","Catalytic Deoxygenation of the Oil and Biodiesel of Licuri (Syagrus coronata) to Obtain n-Alkanes with Chains in the Range of Biojet Fuels","2019","ACS Omega","4","14","","15849","15855","6","28","10.1021/acsomega.9b01737","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072980172&doi=10.1021%2facsomega.9b01737&partnerID=40&md5=96cf1e9889113dbd716fc9458fecfc63","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85072980172"
"Negreiros A.P.F.; Correa W.S.; de Araujo A.P.D.; Santos D.H.; Vilas-Boas J.M.; Dias D.H.N.; Clua E.W.G.; Gonçalves L.M.G.","Negreiros, Alvaro P. F. (56131277200); Correa, Wanderson S. (57426608400); de Araujo, André P. D. (56027748600); Santos, Davi H. (57190606005); Vilas-Boas, João M. (57212746380); Dias, Daniel H. N. (56355917800); Clua, Esteban W. G. (24450364400); Gonçalves, Luiz M. G. (58069927800)","56131277200; 57426608400; 56027748600; 57190606005; 57212746380; 56355917800; 24450364400; 58069927800","Sustainable Solutions for Sea Monitoring With Robotic Sailboats: N-Boat and F-Boat Twins","2022","Frontiers in Robotics and AI","9","","788212","","","","5","10.3389/frobt.2022.788212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128747185&doi=10.3389%2ffrobt.2022.788212&partnerID=40&md5=5175da4be4cbe239431f43c13dccd613","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85128747185"
"Silva-De-Souza W.; Iranfar A.; Bráulio A.; Zapater M.; Xavier-De-Souza S.; Olcoz K.; Atienza D.","Silva-De-Souza, Wellington (57524832900); Iranfar, Arman (56939034300); Bráulio, Anderson (57216688911); Zapater, Marina (39462438800); Xavier-De-Souza, Samuel (7801645972); Olcoz, Katzalin (6603199337); Atienza, David (56259926900)","57524832900; 56939034300; 57216688911; 39462438800; 7801645972; 6603199337; 56259926900","Containergy-a container-based energy and performance profiling tool for next generation workloads","2020","Energies","13","9","2162","","","","6","10.3390/en13092162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084292416&doi=10.3390%2fen13092162&partnerID=40&md5=7b9573b3bf1f39e52155b85d950af226","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85084292416"
"Barbosa A.S.; Siqueira L.A.M.; Medeiros R.L.B.A.; Melo D.M.A.; Melo M.A.F.; Freitas J.C.O.; Braga R.M.","Barbosa, Andrey S. (57207996621); Siqueira, Lorena A.M. (57207994324); Medeiros, Rodolfo L.B.A. (56272344800); Melo, Dulce M.A. (9841064200); Melo, Marcus A.F. (7102354647); Freitas, Julio C.O. (36016617500); Braga, Renata M. (55210068400)","57207996621; 57207994324; 56272344800; 9841064200; 7102354647; 36016617500; 55210068400","Renewable aromatics through catalytic flash pyrolysis of pineapple crown leaves using HZSM-5 synthesized with RHA and diatomite","2019","Waste Management","88","","","347","355","8","28","10.1016/j.wasman.2019.03.052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063453523&doi=10.1016%2fj.wasman.2019.03.052&partnerID=40&md5=280feaa95c5df27d64c796b49bbe947e","Article","Final","","Scopus","2-s2.0-85063453523"
"Melo Y.L.; Garcia R.R.; de Macêdo C.E.C.; Delgado E.A.O.; Maia J.M.; Ortega-Rodés P.","Melo, Yuri Lima (57194338171); Garcia, Rosa Rodés (6602614987); de Macêdo, Cristiane Elizabeth Costa (24474078500); Delgado, Eduardo Alfonso Ortega (57198363369); Maia, Josemir Moura (35334664900); Ortega-Rodés, Patricia (6504589484)","57194338171; 6602614987; 24474078500; 57198363369; 35334664900; 6504589484","Unraveling physiological traits of Jatropha curcas, a biodiesel plant, to overcome salinity conditions; [Desvendando traços fisiológicos de Jatropha curcas, planta matriz do biodiesel, para superar condições de salinidade]","2020","Revista Caatinga","33","2","","446","457","11","4","10.1590/1983-21252020v33n217rc","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085280478&doi=10.1590%2f1983-21252020v33n217rc&partnerID=40&md5=f97cc7d1db907fe8f5818bf7370486a4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85085280478"
"Silva J.E.; Calixto G.Q.; de Almeida C.C.; Melo D.M.A.; Melo M.A.F.; Freitas J.C.O.; Braga R.M.","Silva, Janduir E. (57207816866); Calixto, Guilherme Q. (56764224400); de Almeida, Cassia C. (57210212596); Melo, Dulce M. A. (9841064200); Melo, Marcus A. F. (7102354647); Freitas, Julio C. O. (36016617500); Braga, Renata M. (55210068400)","57207816866; 56764224400; 57210212596; 9841064200; 7102354647; 36016617500; 55210068400","Energy potential and thermogravimetric study of pyrolysis kinetics of biomass wastes","2019","Journal of Thermal Analysis and Calorimetry","137","5","","1635","1643","8","43","10.1007/s10973-019-08048-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064943211&doi=10.1007%2fs10973-019-08048-4&partnerID=40&md5=a062fa524fcdb4667af86064b3bb43df","Article","Final","","Scopus","2-s2.0-85064943211"
"Bezerra Í.S.A.; Araújo P.P.B.; Souza S.I.S.; Marinho G.S.; Toro P.G.P.","Bezerra, Ítalo S.A. (57338440600); Araújo, Pedro P.B. (57225055494); Souza, Sandi I.S. (55538646700); Marinho, George S. (35345312200); Toro, Paulo G.P. (36773019800)","57338440600; 57225055494; 55538646700; 35345312200; 36773019800","Influence of the hydrogen transverse injection mode in a scramjet combustor performance","2024","International Journal of Hydrogen Energy","53","","","1269","1284","15","3","10.1016/j.ijhydene.2023.11.308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178593101&doi=10.1016%2fj.ijhydene.2023.11.308&partnerID=40&md5=c943a00a07a0b0db6fa5202dcb48d24b","Article","Final","","Scopus","2-s2.0-85178593101"
"Oliveira F.G.S.; Santos L.P.M.; da Silva R.B.; Correa M.A.; Bohn F.; Correia A.N.; Vieira L.; Vasconcelos I.F.; de Lima-Neto P.","Oliveira, Francisco G.S. (57218681148); Santos, Luis P.M. (57193732317); da Silva, Rodolfo B. (57548591600); Correa, Marcio A. (55849443600); Bohn, Felipe (14420660900); Correia, Adriana N. (7103011076); Vieira, Luciana (56640740200); Vasconcelos, Igor F. (57217845988); de Lima-Neto, Pedro (6602422097)","57218681148; 57193732317; 57548591600; 55849443600; 14420660900; 7103011076; 56640740200; 57217845988; 6602422097","FexNi(1-x) coatings electrodeposited from choline chloride-urea mixture: Magnetic and electrocatalytic properties for water electrolysis","2022","Materials Chemistry and Physics","279","","125738","","","","10","10.1016/j.matchemphys.2022.125738","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123162195&doi=10.1016%2fj.matchemphys.2022.125738&partnerID=40&md5=a0611aacc2eadbc5c286d223bdbd360f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85123162195"
"F. de A. Silva; Lima G.; Demets G.J.-F.","F. de A. Silva (57768064600); Lima, G. (57217834411); Demets, G.J.-F. (6602571973)","57768064600; 57217834411; 6602571973","Naphthalene Diimides and Vanadium Pentoxide Composite Electrodes for Lithium Ion Batteries","2022","Russian Journal of Electrochemistry","58","6","","433","443","10","0","10.1134/S1023193522060106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133013470&doi=10.1134%2fS1023193522060106&partnerID=40&md5=b2525f1be2495747e1b19798d516fe1a","Article","Final","","Scopus","2-s2.0-85133013470"
"de Almeida R.; Steiner M.T.A.; Coelho L.D.S.; Francisco C.A.C.; Steiner Neto P.J.","de Almeida, Ricardo (56963537000); Steiner, Maria Teresinha Arns (8901199600); Coelho, Leandro dos Santos (6505856329); Francisco, Cláudia Aparecida Cavalheiro (55514846400); Steiner Neto, Pedro José (55497132300)","56963537000; 8901199600; 6505856329; 55514846400; 55497132300","A case study on environmental sustainability: A study of the trophic changes in fish species as a result of the damming of rivers through clustering analysis","2019","Computers and Industrial Engineering","135","","","1239","1252","13","2","10.1016/j.cie.2018.09.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053831651&doi=10.1016%2fj.cie.2018.09.032&partnerID=40&md5=a0ea1f3b668ab1f0edf5b04c864d810f","Article","Final","","Scopus","2-s2.0-85053831651"
