"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"dos Santos J.R.M.; de Almeida Vieira F.; Fajardo C.G.; Brandão M.M.; Silva R.A.R.; Jump A.S.","dos Santos, Jéssica Ritchele Moura (57218922247); de Almeida Vieira, Fábio (57220478829); Fajardo, Cristiane Gouvêa (36682240900); Brandão, Murilo Malveira (53863083000); Silva, Richeliel Albert Rodrigues (57198497921); Jump, Alistair S. (8675585800)","57218922247; 57220478829; 36682240900; 53863083000; 57198497921; 8675585800","Overexploitation and anthropogenic disturbances threaten the genetic diversity of an economically important neotropical palm","2021","Biodiversity and Conservation","30","8-9","","2395","2413","18","7","10.1007/s10531-021-02200-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106747335&doi=10.1007%2fs10531-021-02200-z&partnerID=40&md5=4fea7db709f66911420098a6c98964fd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85106747335"
"da Silva M.D.V.; Lima Z.M.C.; Do Nascimento M.A.L.","da Silva, Maria Das Vitórias (58174850300); Lima, Zuleide Maria Carvalho (57212530123); Do Nascimento, Marcos Antônio Leite (55359812000)","58174850300; 57212530123; 55359812000","QUALITATIVE ASSESSMENT OF THE GEOMORPHOLOGICAL HERITAGE OF GALINHOS SPIT, IN THE NORTHERN COASTAL ZONE OF RIO GRANDE DO NORTE; [AVALIAÇÃO QUALITATIVA DO PATRIMÔNIO GEOMORFOLÓGICO DO SPIT DE GALINHOS, PORÇÃO NORTE DA ZONA COSTEIRA DO RIO GRANDE DO NORTE]; [EVALUACIÓN CUALITATIVA DEL PATRIMONIO GEOMORFOLÓGICO DEL SPIT DE GALINHOS, FRACCIÓN NORTE DE LA ZONA COSTERA DE RIO GRANDE DO NORTE]","2020","Revista de Geociencias do Nordeste","6","2","","309","318","9","1","10.21680/2447-3359.2020v6n2ID19834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152027400&doi=10.21680%2f2447-3359.2020v6n2ID19834&partnerID=40&md5=6395b7c6d1b04bcff21fc50deff26593","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152027400"
"Medeiros F.H.F.; Lunardi V.O.; Lunardi D.G.","Medeiros, Francisco Hiályson Fidelis (57211148770); Lunardi, Vitor de Oliveira (23009627700); Lunardi, Diana Gonçalves (24504334500)","57211148770; 23009627700; 24504334500","Multi-Criteria Decision Analysis as Subsidy for the Determination of Suitability Areas to Achieve Goals in National Parks; [Análise de Decisão Multicritério como Subsídio a Determinação de Áreas de Aptidão para Alcance de Objetivos em Parques Nacionais]","2022","Revista Brasileira de Geografia Fisica","15","3","","1380","1401","21","1","10.26848/rbgf.v15.3.p1380-1401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132379410&doi=10.26848%2frbgf.v15.3.p1380-1401&partnerID=40&md5=df0e3d882aad808b08a7eb4b27ab0926","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132379410"
"Reis-Filho J.A.; Joyeux J.-C.; Pimentel C.R.; Teixeira J.; Macieira R.; Garla R.C.; Mello T.; Gasparini J.; Giarrizzo T.; Rocha L.; Pinheiro H.T.","Reis-Filho, José Amorim (37013929100); Joyeux, Jean-Christophe (6603478244); Pimentel, Caio Ribeiro (36155996900); Teixeira, João Batista (55664241400); Macieira, Raphael (16022364500); Garla, Ricardo C. (13407098500); Mello, Thayná (50561821300); Gasparini, João Luiz (6603361579); Giarrizzo, Tommaso (17345581900); Rocha, Luiz (7102199515); Pinheiro, Hudson T. (34768994100)","37013929100; 6603478244; 36155996900; 55664241400; 16022364500; 13407098500; 50561821300; 6603361579; 17345581900; 7102199515; 34768994100","The challenges and opportunities of using small drones to monitor fishing activities in a marine protected area","2022","Fisheries Management and Ecology","29","5","","745","752","7","3","10.1111/fme.12557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130206974&doi=10.1111%2ffme.12557&partnerID=40&md5=b13c56025135f56e204146c78d415ce1","Article","Final","","Scopus","2-s2.0-85130206974"
"Hirschfeld M.N.C.; Faria L.R.R.; Gil G.S.; Fonseca C.R.","Hirschfeld, Maria Noel C. (57209771756); Faria, Luiz Roberto R. (23388929900); Gil, Gabriel S. (58144862300); Fonseca, Carlos Roberto (55989546500)","57209771756; 23388929900; 58144862300; 55989546500","Applying the World-System theory in the conservation sciences to understand COVID-19 pandemic as a socio-environmental synergy","2023","Ethnobiology and Conservation","12","","2","","","","0","10.15451/ec2023-03-12.02-1-16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150283527&doi=10.15451%2fec2023-03-12.02-1-16&partnerID=40&md5=e0dcf9aac49af211b0894e522394d754","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85150283527"
"de Meneses Sousa K.; de Oliveira W.I.F.; Alves E.A.; da Silva Gama Z.A.","de Meneses Sousa, Kelienny (57215684583); de Oliveira, Wagner Ivan Fonseca (57190032520); Alves, Emanuel Augusto (57185024300); da Silva Gama, Zenewton Andre (35608926700)","57215684583; 57190032520; 57185024300; 35608926700","Factors Associated With Access To Physical Rehabilitation For Victims Of Traffic Accidents","2017","Revista de Saude Publica","51","","54","","","","4","10.1590/S1518-8787.2017051006429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029667839&doi=10.1590%2fS1518-8787.2017051006429&partnerID=40&md5=559761eb771b724216370ca91010a2c2","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85029667839"
"Damasco G.; Anhalt M.; Perdiz R.O.; Wittmann F.; de Assis R.L.; Schöngart J.; Piedade M.T.F.; Bacon C.D.; Antonelli A.; Fine P.V.A.","Damasco, Gabriel (37002419300); Anhalt, Mandy (57408207200); Perdiz, Ricardo O. (56449298700); Wittmann, Florian (7005579717); de Assis, Rafael L. (25025999800); Schöngart, Jochen (6507398267); Piedade, Maria T. F. (57209784753); Bacon, Christine D. (57210993779); Antonelli, Alexandre (23017926000); Fine, Paul V. A. (8064157400)","37002419300; 57408207200; 56449298700; 7005579717; 25025999800; 6507398267; 57209784753; 57210993779; 23017926000; 8064157400","Certification of açaí agroforestry increases the conservation potential of the Amazonian tree flora","2022","Agroforestry Systems","96","2","","407","416","9","5","10.1007/s10457-021-00727-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122709945&doi=10.1007%2fs10457-021-00727-2&partnerID=40&md5=ed56ff006075f96b6d10a7ac572f82ee","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85122709945"
"Bezerra P.R.C.; Vieira M.M.; de Rezende J.F.D.","Bezerra, Paulo Ricardo Cosme (57210321402); Vieira, Marcela Marques (15062006400); de Rezende, Júlio Francisco Dantas (57210317842)","57210321402; 15062006400; 57210317842","Measurement of the eco-efficiency of small business in the supply chain oil and gas, applying the taxonomy CE7","2019","Acta Scientiarum - Technology","41","1","e37730","","","","2","10.4025/actascitechnol.v41i1.37730","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070268920&doi=10.4025%2factascitechnol.v41i1.37730&partnerID=40&md5=5b07e596cb67cef16052dc4cac338f6c","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85070268920"
"Vale T.M.C.; Spyrides M.H.C.; Cabral Júnior J.B.; Andrade L.M.B.; Bezerra B.G.; Rodrigues D.T.; Mutti P.R.","Vale, Tásia Moura Cardoso do (58648036700); Spyrides, Maria Helena Constantino (12770094900); Cabral Júnior, Jório Bezerra (57204453556); Andrade, Lara de Melo Barbosa (57189848395); Bezerra, Bergson Guedes (35931965900); Rodrigues, Daniele Tôrres (57211345747); Mutti, Pedro Rodrigues (57207758395)","58648036700; 12770094900; 57204453556; 57189848395; 35931965900; 57211345747; 57207758395","Climate and water balance influence on agricultural productivity over the Northeast Brazil","2024","Theoretical and Applied Climatology","155","2","","879","900","21","0","10.1007/s00704-023-04664-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174158006&doi=10.1007%2fs00704-023-04664-1&partnerID=40&md5=7cc2cb779baa4e57ff1579e15b43090c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85174158006"
"Marcius de Alencar Xavier Y.; da Rocha França V.; Pinto K.","Marcius de Alencar Xavier, Yanko (59224660500); da Rocha França, Vladimir (59224358400); Pinto, Karoline (59224060700)","59224660500; 59224358400; 59224060700","STUDY ON THE RIGHT TO ECONOMIC FREEDOM AND TO ECOLOGICALLY BALANCED ENVIRONMENT: CONFLICTS AND APPROACHES; [ESTUDO SOBRE O DIREITO À LIBERDADE ECONÔMICA E AO MEIO AMBIENTE ECOLOGICAMENTE EQUILIBRADO: CONFLITOS E APROXIMAÇÕES]","2023","Veredas do Direito","20","","e202337","","","","0","10.18623/rvd.v20.2337-ing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198926572&doi=10.18623%2frvd.v20.2337-ing&partnerID=40&md5=a586238a2409ba3300aa2f1b8f883d65","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85198926572"
"Leite J.H.G.M.; Façanha D.A.E.; Bermejo J.V.D.; Guilhermino M.M.; Bermejo L.A.","Leite, Jacinara Hody Gurgel Morais (56151118100); Façanha, Débora Andréa Evangelista (36241514700); Bermejo, Juan Vicente Delgado (58944194000); Guilhermino, Magda Maria (12242065200); Bermejo, Luis Alberto (26538448600)","56151118100; 36241514700; 58944194000; 12242065200; 26538448600","Adaptive assessment of small ruminants in arid and semi-arid regions","2021","Small Ruminant Research","203","","106497","","","","15","10.1016/j.smallrumres.2021.106497","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113724457&doi=10.1016%2fj.smallrumres.2021.106497&partnerID=40&md5=c95d7b2c4c4226196c655ef5d699ad23","Article","Final","","Scopus","2-s2.0-85113724457"
"De Medeiros Silveira I.M.; Dos Santos D.B.; Da Costa F.R.; De Melo Soares R.H.R.; Junior T.A.G.; Pontes C.S.","De Medeiros Silveira, Iáskara Michelly (58237706900); Dos Santos, Daniele Bezerra (52163354700); Da Costa, Franklin Roberto (57214154868); De Melo Soares, Rodrigo Herico Rodrigues (58238195400); Junior, Tarcísio Augusto Gonçalves (58237683800); Pontes, Cibele Soares (13611169800)","58237706900; 52163354700; 57214154868; 58238195400; 58237683800; 13611169800","Environmental licensing diagnosis of srimp farming in the state of rio grande do norte, brazil; [Diagnóstico do Licenciamento Ambiental da Carcinicultura no estado do Rio Grande do Norte, Brasil]","2019","Revista Brasileira de Geografia Fisica","12","7","","2392","2406","14","1","10.26848/rbgf.v12.7.p2392-2406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138536466&doi=10.26848%2frbgf.v12.7.p2392-2406&partnerID=40&md5=37d007579c42f1d01ec8c9b69e324074","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85138536466"
"Diógenes J.R.F.; Claro J.; Rodrigues J.C.; Loureiro M.V.","Diógenes, Jamil Ramsi Farkat (57205377054); Claro, João (55112135600); Rodrigues, José Coelho (56559299000); Loureiro, Manuel Valentim (56318979000)","57205377054; 55112135600; 56559299000; 56318979000","Barriers to onshore wind energy implementation: A systematic review","2020","Energy Research and Social Science","60","","101337","","","","71","10.1016/j.erss.2019.101337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077130867&doi=10.1016%2fj.erss.2019.101337&partnerID=40&md5=605a3dac378575895f46d0d20bc254e3","Review","Final","","Scopus","2-s2.0-85077130867"
"Shellock R.J.; Cvitanovic C.; McKinnon M.C.; Mackay M.; van Putten I.E.; Blythe J.; Kelly R.; Tuohy P.; Maltby K.M.; Mynott S.; Simmonds N.; Bailey M.; Begossi A.; Crona B.; Fakoya K.A.; Ferreira B.P.; Ferrer A.J.G.; Frangoudes K.; Gobin J.; Goh H.C.; Haapasaari P.; Hardesty B.D.; Häussermann V.; Hoareau K.; Hornidge A.-K.; Isaacs M.; Kraan M.; Li Y.; Liu M.; Lopes P.F.M.; Mlakar M.; Morrison T.H.; Oxenford H.A.; Pecl G.; Penca J.; Robinson C.; Selim S.A.; Skern-Mauritzen M.; Soejima K.; Soto D.; Spalding A.K.; Vadrot A.; Vaidianu N.; Webber M.; Wisz M.S.","Shellock, R.J. (57192276414); Cvitanovic, C. (25624329800); McKinnon, M.C. (55810314200); Mackay, M. (57201986091); van Putten, I.E. (35319396900); Blythe, J. (55993171700); Kelly, R. (57202729480); Tuohy, P. (57776942700); Maltby, K.M. (57194714474); Mynott, S. (57208160395); Simmonds, N. (58092801400); Bailey, M. (23990423300); Begossi, A. (6701814599); Crona, B. (57203064581); Fakoya, K.A. (24398947400); Ferreira, B.P. (7007036703); Ferrer, A.J.G. (56150887500); Frangoudes, K. (23492203100); Gobin, J. (6603902434); Goh, H.C. (56141384400); Haapasaari, P. (22957754700); Hardesty, B.D. (7005344194); Häussermann, V. (57204227116); Hoareau, K. (57224501788); Hornidge, A.-K. (20435989300); Isaacs, M. (16309718400); Kraan, M. (55838677100); Li, Y. (57201204382); Liu, M. (58603997100); Lopes, P.F.M. (56468837900); Mlakar, M. (6602164515); Morrison, T.H. (35964161000); Oxenford, H.A. (6602742668); Pecl, G. (6602413277); Penca, J. (35332856900); Robinson, C. (23045392200); Selim, S.A. (57205549382); Skern-Mauritzen, M. (36613814200); Soejima, K. (57776716800); Soto, D. (57195216901); Spalding, A.K. (56821669900); Vadrot, A. (46961423700); Vaidianu, N. (55971102000); Webber, M. (7103355856); Wisz, M.S. (23037763700)","57192276414; 25624329800; 55810314200; 57201986091; 35319396900; 55993171700; 57202729480; 57776942700; 57194714474; 57208160395; 58092801400; 23990423300; 6701814599; 57203064581; 24398947400; 7007036703; 56150887500; 23492203100; 6603902434; 56141384400; 22957754700; 7005344194; 57204227116; 57224501788; 20435989300; 16309718400; 55838677100; 57201204382; 58603997100; 56468837900; 6602164515; 35964161000; 6602742668; 6602413277; 35332856900; 23045392200; 57205549382; 36613814200; 57776716800; 57195216901; 56821669900; 46961423700; 55971102000; 7103355856; 23037763700","Building leaders for the UN Ocean Science Decade: a guide to supporting early career women researchers within academic marine research institutions","2023","ICES Journal of Marine Science","80","1","","56","75","19","3","10.1093/icesjms/fsac214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147517479&doi=10.1093%2ficesjms%2ffsac214&partnerID=40&md5=8e411f0b496861d79ac03af776612c0f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147517479"
"Souza C.N.; Rodrigues A.C.; Correia R.A.; Normande I.C.; Costa H.C.M.; Guedes-Santos J.; Malhado A.C.M.; Carvalho A.R.; Ladle R.J.","Souza, Carolina N. (57075872700); Rodrigues, Ana Carla (57211254076); Correia, Ricardo A. (39561046000); Normande, Iran C. (16304849300); Costa, Hugo C.M. (57196097159); Guedes-Santos, Jhonatan (57222191086); Malhado, Ana C.M. (8272570100); Carvalho, Adriana R. (7201882441); Ladle, Richard J. (6602999130)","57075872700; 57211254076; 39561046000; 16304849300; 57196097159; 57222191086; 8272570100; 7201882441; 6602999130","No visit, no interest: How COVID-19 has affected public interest in world's national parks","2021","Biological Conservation","256","","109015","","","","54","10.1016/j.biocon.2021.109015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101841319&doi=10.1016%2fj.biocon.2021.109015&partnerID=40&md5=b23d9cfa037d60e988bf2a8debab5c89","Article","Final","","Scopus","2-s2.0-85101841319"
"de Oliveira Lobo G.M.; Castro A.M.D.A.","de Oliveira Lobo, Gilneide Maria (58572751500); Castro, Alda Maria Duarte Araújo (41461088100)","58572751500; 41461088100","Global education agenda and expansion of Higher Education; [Agenda global da educação e expansão da Educação Superior]; [Agenda global de la educación y expansión de la Educación Superior]","2023","Praxis Educativa","18","","e21286","","","","0","10.5212/PraxEduc.v.18.21286.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170677926&doi=10.5212%2fPraxEduc.v.18.21286.071&partnerID=40&md5=661f7af21bdcc971739fcb3fd18866f6","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85170677926"
"Teodósio S.S.-C.S.; Padilha M.I.","Teodósio, Sheila Saint-Clair da Silva (6508195189); Padilha, Maria Itayra (6701801804)","6508195189; 6701801804","Nurses’ training and the (Re)construction of their professional identity (1970s); [A formação e a (Re)construção da identidade profissional de enfermeiros (anos de 1970)]; [La formación y la (Re)construcción de la identidad profesional de enfermeros (años de 1970)]","2018","Revista Enfermagem","26","","","","","","3","10.12957/reuerj.2018.20054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073301131&doi=10.12957%2freuerj.2018.20054&partnerID=40&md5=6ea89a7267b142287e11916029c7551a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85073301131"
"Cavalcante F.L.N.F.; de Oliveira K.S.A.; Araújo C.L.F.P.; Costa P.O.M.; da Silva E.P.; Maia E.M.C.","Cavalcante, Fernanda Lúcia Nascimento Freire (58866450600); de Oliveira, Kamilla Sthefany Andrade (57193996015); Araújo, Carla Larissa Fernandes Pinheiro (57286575700); Costa, Pedro Obede Medeiros (58866000300); da Silva, Eliane Pereira (50560922900); Maia, Eulália Maria Chaves (23985614000)","58866450600; 57193996015; 57286575700; 58866000300; 50560922900; 23985614000","Anxiety, depression, stress and burnout in health professionals during the COVID-19 pandemic; [Ansiedade, depressão, estresse e burnout em profissionais de saúde durante a pandemia de COVID-19]; [Ansiedad, depresión, estrés y burnout en los profesionales de la salud durante la pandemia de COVID-19]","2021","Estudos de Psicologia","26","3","","252","262","10","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184253611&partnerID=40&md5=2ddbaca8cdf82bd6a84b4a73a0ebde02","Article","Final","","Scopus","2-s2.0-85184253611"
"Fusco W.; Ojima R.","Fusco, Wilson (15831629700); Ojima, Ricardo (24335946500)","15831629700; 24335946500","Education and regional development: Indirect effects of the descentralization policy for college education on pernambuco state’s commuting; [Educação e desenvolvimento regional: Os efeitos indiretos da política de descentralização do ensino superior e a mobilidade pendular no estado de pernambuco]","2017","Revista Brasileira de Gestao e Desenvolvimento Regional","13","1","","247","263","16","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040695666&partnerID=40&md5=1f98ac943629235fa8bab20a6fe2004a","Article","Final","","Scopus","2-s2.0-85040695666"
"de Almeida L.Q.; Welle T.; Birkmann J.","de Almeida, Lutiane Queiroz (57189601394); Welle, Torsten (36070135000); Birkmann, Jörn (21733408600)","57189601394; 36070135000; 21733408600","Disaster risk indicators in Brazil: A proposal based on the world risk index","2016","International Journal of Disaster Risk Reduction","17","","","251","272","21","68","10.1016/j.ijdrr.2016.04.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973334420&doi=10.1016%2fj.ijdrr.2016.04.007&partnerID=40&md5=2b0dd7b21c56e6f099bc288fc27d3397","Article","Final","","Scopus","2-s2.0-84973334420"
"Ferreira M.B.; Solano A.M.S.; dos Santos E.V.; Martínez-Huitle C.A.; Ganiyu S.O.","Ferreira, Maiara Barbosa (55391991400); Solano, Aline Maria Sales (37108699500); dos Santos, Elisama Vieira (57213395188); Martínez-Huitle, Carlos A. (6507655813); Ganiyu, Soliu O. (55853693900)","55391991400; 37108699500; 57213395188; 6507655813; 55853693900","Coupling of anodic oxidation and soil remediation processes: A review","2020","Materials","13","19","4309","1","24","23","20","10.3390/ma13194309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093960694&doi=10.3390%2fma13194309&partnerID=40&md5=e442c6ce90e053cf9f718e821813a005","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85093960694"
"Henry-Silva G.G.; Melo-Junior H.D.N.; Attayde J.L.","Henry-Silva, Gustavo Gonzaga (6506652395); Melo-Junior, Hênio Do Nascimento (55923376300); Attayde, José Luiz (6506892292)","6506652395; 55923376300; 6506892292","Extreme drought events and the sustainability of fish farming in net cages in reservoirs of the semi-arid northeastern region in Brazil; [Eventos extremos de seca e a sustentabilidade da piscicultura em tanques-rede em reservatórios do semiárido Brasileiro]","2019","Acta Limnologica Brasiliensia","31","","e112","","","","10","10.1590/s2179-975x7519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075605429&doi=10.1590%2fs2179-975x7519&partnerID=40&md5=935cc0672f0f9e9d96a19b5ad71289d5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85075605429"
"Padula A.D.; Santos M.S.; Ferreira L.; Borenstein D.","Padula, Antonio Domingos (34971803400); Santos, Manoela Silveira (35291883100); Ferreira, Luciano (37006409400); Borenstein, Denis (7005024634)","34971803400; 35291883100; 37006409400; 7005024634","The emergence of the biodiesel industry in Brazil: Current figures and future prospects","2012","Energy Policy","44","","","395","405","10","70","10.1016/j.enpol.2012.02.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858296335&doi=10.1016%2fj.enpol.2012.02.003&partnerID=40&md5=e1f1943967ebcba7f363f45c70ea3069","Article","Final","","Scopus","2-s2.0-84858296335"
"Rocha P.D.M.; Uchoa A.D.C.; Rocha N.D.S.P.D.; De Souza E.C.F.; Rocha M.D.L.; Pinheiro T.X.D.A.","Rocha, Paulo De Medeiros (16204180900); Uchoa, Alice Da Costa (56628330600); Rocha, Nadja De Sá Pinto Dantas (24492609400); De Souza, Elizabethe Cristina Fagundes (24491798700); Rocha, Marconi De Lima (36778366800); Pinheiro, Themis Xavier De Albuquerque (24492432400)","16204180900; 56628330600; 24492609400; 24491798700; 36778366800; 24492432400","An assessment of the Family Health Program in municipalities of Northeast Brazil: Old and new challenges; [Avaliação do Programa Saúde da Família em municípios do Nordeste brasileiro: Velhos e novos desafios]","2008","Cadernos de Saude Publica","24","SUPPL. 1","","S69","S78","9","24","10.1590/S0102-311X2008001300012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-48749090917&doi=10.1590%2fS0102-311X2008001300012&partnerID=40&md5=979bf90d2e80d9086683ec271be2107d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-48749090917"
"Salgado C.C.R.; Colombo C.R.","Salgado, Camila Cristina Rodrigues (56318991000); Colombo, Ciliana Regina (56727656200)","56318991000; 56727656200","Environmental management system in Verdegreen Hotel - João Pessoa/PB: A case study under the perspective of resource-based view; [Sistema de gestão ambiental no verdegreen hotel - João Pessoa/PB: Um estudo de caso sob a perspectiva da resource-based view]","2015","Revista de Administracao Mackenzie","16","5","","195","225","30","3","10.1590/1678-69712015/administracao.v16n5p195-225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056455867&doi=10.1590%2f1678-69712015%2fadministracao.v16n5p195-225&partnerID=40&md5=87ad5074670a650fb4e6f3a931742f67","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85056455867"
"Pinheiro J.Q.; Verdugo V.C.","Pinheiro, Jose Q. (7102840383); Verdugo, Victor Corral (56486070200)","7102840383; 56486070200","Time perspective and sustainable behavior","2010","Psychological Approaches to Sustainability: Current Trends in Theory, Research and Applications","","","","205","224","19","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892289298&partnerID=40&md5=816549c63153b7293b312972463703d5","Book chapter","Final","","Scopus","2-s2.0-84892289298"
"Machado H.P.V.; Gazola S.; Dos Santos Fabricio J.; Anez M.E.M.","Machado, Hilka Pelizza Vier (55804021600); Gazola, Sebastião (6506935003); Dos Santos Fabricio, Joiceli (57221504237); Anez, Miguel Eduardo Moreno (55794931200)","55804021600; 6506935003; 57221504237; 55794931200","Women entrepreneurs: Reasons and difficulties for starting in business","2016","Revista de Administracao Mackenzie","17","3","","15","38","23","6","10.1590/1678-69712016/administracao.v17n3p15-38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064706728&doi=10.1590%2f1678-69712016%2fadministracao.v17n3p15-38&partnerID=40&md5=d8185a60cebb4a26e205dce51252aa67","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85064706728"
"De Araújo A.A.; De Araújo Dantas D.; Do Nascimento G.G.; Ribeiro S.B.; Chaves K.M.; De Lima Silva V.; De Araújo Jr. R.F.; De Souza D.L.B.; De Medeiros C.A.C.X.","De Araújo, Aurigena Antunes (37022977400); De Araújo Dantas, Diego (56318593900); Do Nascimento, Gemma Galgani (56319684600); Ribeiro, Susana Barbosa (55311606400); Chaves, Katarina Melo (55311544900); De Lima Silva, Vanessa (36868200200); De Araújo Jr., Raimundo Fernandes (30867511400); De Souza, Dyego Leandro Bezerra (57222094997); De Medeiros, Caroline Addison Carvalho Xavier (56607943000)","37022977400; 56318593900; 56319684600; 55311606400; 55311544900; 36868200200; 30867511400; 57222094997; 56607943000","Quality of life in patients with schizophrenia: The impact of socio-economic factors and adverse effects of atypical antipsychotics drugs","2014","Psychiatric Quarterly","85","3","","357","367","10","18","10.1007/s11126-014-9290-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905818340&doi=10.1007%2fs11126-014-9290-x&partnerID=40&md5=83067ea017dc261823ccee402d73d4b7","Article","Final","","Scopus","2-s2.0-84905818340"
"Machado H.P.V.; Gazola S.; Anez M.E.M.","Machado, Hilka Pelizza Vier (55804021600); Gazola, Sebastião (6506935003); Anez, Miguel Eduardo Moreno (55794931200)","55804021600; 6506935003; 55794931200","Creation of enterprises by women: A study with entrepreneurs in Natal, Rio Grande do Norte; [Criação de empresas por mulheres: um estudo com empreendedoras em natal, rio grande do norte]","2013","Revista de Administracao Mackenzie","14","5","","177","200","23","4","10.1590/S1678-69712013000500007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013360526&doi=10.1590%2fS1678-69712013000500007&partnerID=40&md5=109dfb51c4c2c1697649303853eba8f4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85013360526"
"Ferreira Jr. M.A.; Ivo M.L.; Pontes E.R.J.C.; Carvalho D.P.S.R.P.; Vitor A.F.","Ferreira Jr., Marcos Antonio (26654249500); Ivo, Maria Lúcia (8956732900); Pontes, Elenir Rose Jardim Cury (15843986200); Carvalho, Diana Paula de Souza Rego Pinto (56278680800); Vitor, Allyne Fortes (55189151200)","26654249500; 8956732900; 15843986200; 56278680800; 55189151200","Sociodemographic and clinical profile of patients with Myelodysplastic Syndromes; [Perfil sociodemográfico e clínico de portadores de Síndromes Mielodisplásicas]","2014","Bioscience Journal","30","4","","1269","1277","8","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904501295&partnerID=40&md5=295cf45c3535004e212af8df603fd811","Article","Final","","Scopus","2-s2.0-84904501295"
"De Moura J.F.P.; Filho E.C.P.; Neto S.G.; De Farias Leite S.V.; Guilhermino M.M.; De Menezes M.P.C.","De Moura, José Fábio Paulino (36343242700); Filho, Edgard Cavalcanti Pimenta (6603363594); Neto, Severino Gonzaga (12777569900); De Farias Leite, Saulo Vilarim (36343398300); Guilhermino, Magda Maria (12242065200); De Menezes, Marcos Paulo Carrera (36343499200)","36343242700; 6603363594; 12777569900; 36343398300; 12242065200; 36343499200","Economic analysis of the milk production in the cariri region of the Paraíba State; [Análise económica da exploração de leite no cariri paraibano]","2010","Acta Scientiarum - Animal Sciences","32","2","","225","231","6","9","10.4025/actascianimsci.v32i2.7115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955603301&doi=10.4025%2factascianimsci.v32i2.7115&partnerID=40&md5=8344aca033a1b54d507cfcb1cd331c3f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-77955603301"
